"site","transect","species","straight_length_cm","clam_orientation","density","latitude_dd","longitude_dd","current_orientation","clam_v_current","angle_diff"
"Research Beach ",1,"maxima","12.2",165,2.4,-23.4443816666667,151.91364,106.5,58.5,58.5
"Research Beach ",1,"crocea","20.9",175,2.4,-23.4444066666667,151.91363,106.5,68.5,68.5
"Research Beach ",1,"maxima","10.8",100,2.4,-23.44437,151.913608333333,106.5,6.5,6.5
"Research Beach ",1,"maxima","23.8",205,2.4,-23.4443683333333,151.913611666667,106.5,98.5,98.5
"Research Beach ",1,"crocea","18.4",220,2.4,-23.44433,151.913588333333,106.5,113.5,113.5
"Research Beach ",1,"maxima","7.9",260,2.4,-23.4443316666667,151.913601666667,106.5,153.5,153.5
"Research Beach ",1,"maxima","11",360,2.4,-23.4442866666667,151.913445,106.5,253.5,106.5
"Research Beach ",1,"maxima","21.5",70,2.4,NA,NA,106.5,36.5,36.5
"Research Beach ",1,"crocea","24",150,2.4,-23.4443766666667,151.913525,106.5,43.5,43.5
"Research Beach ",1,"maxima","8.5",200,2.4,-23.444345,151.913425,106.5,93.5,93.5
"Research Beach ",1,"maxima","20",220,2.4,-23.4443266666667,151.913458333333,106.5,113.5,113.5
"Research Beach ",1,"maxima","13",200,2.4,NA,NA,106.5,93.5,93.5
"Research Beach ",2,"maxima","12.4",40,2.4,-23.4445066666667,151.913023333333,106.5,66.5,66.5
"Research Beach ",2,"maxima","10.7",225,2.4,-23.4445133333333,151.912993333333,106.5,118.5,118.5
"Research Beach ",2,"crocea","17.9",220,2.4,-23.4444416666667,151.913063333333,106.5,113.5,113.5
"Research Beach ",2,"crocea","10.2",119,2.4,-23.444425,151.91306,106.5,12.5,12.5
"Research Beach ",2,"maxima","3.4",120,2.4,-23.444845,151.913223333333,106.5,13.5,13.5
"Research Beach ",2,"maxima","1",230,2.4,-23.4448533333333,151.913208333333,106.5,123.5,123.5
"Research Beach ",2,"maxima","9.3",140,2.4,NA,NA,106.5,33.5,33.5
"Research Beach ",2,"maxima","10.1",110,2.4,-23.4445233333333,151.913276666667,106.5,3.5,3.5
"Research Beach ",2,"maxima","21.1",230,2.4,NA,NA,106.5,123.5,123.5
"Research Beach ",2,"maxima","12.1",250,2.4,NA,NA,106.5,143.5,143.5
"Research Beach ",2,"maxima","22.5",150,2.4,-23.4444733333333,151.913048333333,106.5,43.5,43.5
"Research Beach ",2,"maxima","11.3",270,2.4,-23.4447233333333,151.913165,106.5,163.5,163.5
"Research Beach ",3,"crocea","20.8",130,2.8,-23.44495,151.913248333333,106.5,23.5,23.5
"Research Beach ",3,"crocea","20",340,2.8,-23.4449433333333,151.91326,106.5,233.5,126.5
"Research Beach ",3,"crocea","10.1",45,2.8,-23.445065,151.913291666667,106.5,61.5,61.5
"Research Beach ",3,"crocea","7.3",50,2.8,NA,NA,106.5,56.5,56.5
"Research Beach ",3,"crocea","19.5",140,2.8,-23.4450466666667,151.913273333333,106.5,33.5,33.5
"Research Beach ",3,"crocea","10.7",350,2.8,-23.44503,151.913245,106.5,243.5,116.5
"Research Beach ",3,"maxima","20.4",125,2.8,NA,NA,106.5,18.5,18.5
"Research Beach ",3,"crocea","10.6",110,2.8,NA,NA,106.5,3.5,3.5
"Research Beach ",3,"maxima","24.6",160,2.8,NA,NA,106.5,53.5,53.5
"Research Beach ",3,"maxima","16.5",260,2.8,NA,NA,106.5,153.5,153.5
"Research Beach ",3,"maxima","25",275,2.8,NA,NA,106.5,168.5,168.5
"Research Beach ",3,"maxima","18",190,2.8,NA,NA,106.5,83.5,83.5
"Research Beach ",3,"maxima","22.4",270,2.8,NA,NA,106.5,163.5,163.5
"Research Beach ",3,"maxima","14.5",220,2.8,NA,NA,106.5,113.5,113.5
"Research Beach ",4,"maxima","21.5",175,0.6,-23.4443666666667,151.913163333333,106.5,68.5,68.5
"Research Beach ",4,"maxima","10.6",145,0.6,-23.4443933333333,151.913228333333,106.5,38.5,38.5
"Research Beach ",4,"maxima","17.5",185,0.6,-23.4445683333333,151.913426666667,106.5,78.5,78.5
"Research Beach ",5,"maxima","7.5",180,1.4,-23.44466,151.913645,106.5,73.5,73.5
"Research Beach ",5,"maxima","6.5",236,1.4,-23.4446933333333,151.913776666667,106.5,129.5,129.5
"Research Beach ",5,"maxima","10.2",180,1.4,-23.444775,151.913801666667,106.5,73.5,73.5
"Research Beach ",5,"maxima","13.8",264,1.4,-23.4447916666667,151.913845,106.5,157.5,157.5
"Research Beach ",5,"maxima","9.8",180,1.4,NA,NA,106.5,73.5,73.5
"Research Beach ",5,"maxima","10.2",165,1.4,-23.4448566666667,151.913968333333,106.5,58.5,58.5
"Research Beach ",5,"maxima","12",180,1.4,-23.4448433333333,151.913988333333,106.5,73.5,73.5
"Harbour",6,"maxima","16.4",244,0.4,NA,NA,118.94,125.06,125.06
"Harbour",6,"crocea","18",117,0.4,NA,NA,118.94,1.94,1.94
"Harbour",7,"maxima","13.9",60,2.8,NA,NA,118.94,58.94,58.94
"Harbour",7,"maxima","8.3",242,2.8,NA,NA,118.94,123.06,123.06
"Harbour",7,"maxima","7",270,2.8,NA,NA,118.94,151.06,151.06
